14.47,24.0,1.708
14.86,24.0,1.721
14.86,24.0,1.729
14.86,23.6,1.739
14.96,23.6,1.754
15.44,23.6,1.738
15.25,23.6,1.756
15.44,23.6,1.74
15.15,23.6,1.742
14.86,23.6,1.745
14.76,23.6,1.73
14.76,23.6,1.733
15.15,23.6,1.738
14.96,23.6,1.731
14.76,23.6,1.773
14.86,23.6,1.757
14.76,23.6,1.746
14.76,23.6,1.746
14.57,23.6,1.778
14.47,23.6,1.803
14.57,23.6,1.786
14.66,23.6,1.782
14.76,23.6,1.787
14.86,23.6,1.77
14.76,23.6,1.774
15.25,23.6,1.769
14.66,23.6,1.793
14.57,23.6,1.792
14.86,23.6,1.794
14.37,23.6,1.794
14.37,23.6,1.808
14.96,23.6,1.783
14.47,23.6,1.814
14.76,23.6,1.836
14.47,23.6,1.839
14.66,23.6,1.826
14.08,23.6,1.822
15.44,23.6,1.82
15.15,23.6,1.794
15.25,23.6,1.78
14.76,23.6,1.773
14.37,23.6,1.796
14.17,23.6,1.803
13.98,23.6,1.789
13.98,23.6,1.776
13.98,23.6,1.746
14.08,23.6,1.72
14.37,23.6,1.716
14.27,23.6,1.708
13.78,23.6,1.701
13.78,23.6,1.691
13.98,23.6,1.689
13.98,23.6,1.692
14.66,23.6,1.707
13.98,23.6,1.695
13.39,23.6,1.718
13.98,23.6,1.714
13.98,23.6,1.695
14.08,23.6,1.664
13.98,23.6,1.622
14.27,23.6,1.613
14.66,23.6,1.623
14.08,23.6,1.633
13.98,23.6,1.631
13.88,23.6,1.629
13.98,23.6,1.629
14.37,23.6,1.618
14.96,23.6,1.597
15.15,23.6,1.488
15.05,23.6,1.472
13.98,23.6,1.565
14.08,23.6,1.556
14.37,23.6,1.538
13.98,23.6,1.545
14.37,23.6,1.523
14.96,23.6,1.504
14.17,23.6,1.507
15.74,23.6,1.352
15.54,23.6,1.343
15.93,23.6,1.342
15.44,23.6,1.322
15.64,23.6,1.342
15.64,23.6,1.376
15.54,23.5,1.385
15.84,23.5,1.404
16.03,23.6,1.408
16.03,23.6,1.407
16.42,23.5,1.398
16.32,23.5,1.409
17.4,23.5,1.33
17.11,23.6,1.405
