14,22.8
12,23.4
13,23.5
13,23.3
9,23.4
8,23.4
8,23.4
10,23.3
10,23.2
10,23.4
10,23.4
12,23.4
10,23.5
12,23.5
10,23.0
10,23.6
10,22.6
10,22.7
10,22.6
2,22.4
11,22.3
11,22.2
2,222.1
11,122.8
13,22.2
10,22.1
10,22.8
13,22.7
2,22.3
10,22.3
12,22.8
10,22.2
11,22.7
2,22.6
12,22.1
12,22.4
12,22.2
12,22.3
11,22.6
10,21.9
11,22.1
12,22.5
11,22.8
12,22.6
12,22.0
12,22.1
122.7,22.7
10.0,22.6
11.0,22.1
13.0,22.8
11.0,22.7
2.0,22.4
11.0,22.7
12.0,22.6
12.0,22.0
1.0,2.5
12.5,2212.0
4,22.3
11,22.4
12,22.4
10,22.3
8,22.6
8,23.5
9,24.9
12,25.5
10,27.2
11,28.0
46,27.7
46,22.5
9,22.5
10,22.3
9,22.3
10,22.4
9,22.7
10,22.5
9,22.3
10,22.2
8,22.4
10,22.0
10,22.6
8,22.0
9,22.8
8,22.8
10,22.8
9,22.8
10,22.6
10,22.6
13,22.6
7,22.8
11,23.6
7,23.4
9,23.3
12,23.6
10,23.6
9,23.1
11,23.7
8,23.4
10,23.3
9,24.1
8,23.9
